,chemical_symbol,atomic_weight,atomic_number,orbitals_energy,atomic_radius,atomic_radius_empirical,boiling_point,hardness_brinell,bulk_modulus,coefficient_linear_thermal_expansion,common_oxidation_states,critical_temperature,density_solid_phase,electrical_resistivity,electron_configuration,ionic_radius,liquid_range,melting_point,mendeleev_number,hardness_mineral,molar_volume,chemical_name,oxidation_states,poisson_ratio,reflectivity,refractive_index,shear_modulus,atomic_radius_shannon,superconduction_temperature,thermal_conductivity,vdw_radius,sound_velocity,hardness_vickers,electronegativity_pauling,youngs_modulus,metallic_radius,iupac_ordering,ionization_energy,electron_affinity,ICSD_oxidation_states,NMR_quadrupole_moment
107,Hs,270.0,108,,,,,,,,,,,,,,,,,,,Hassium,,,,,,,,,,,,,,,,"[7.6, 18.2, 29.3, 37.7, 51.2, 64.0, 78.1, 91.7, 159.9, 173.9, 206.1, 227.0, 258.0, 285.0, 314.0, 351.0, 371.0, 409.0, None, 984.0, 1020.0, 1060.0, 1101.0, 1140.0, 1180.0, 1253.0, 1294.0, 1338.0, 1379.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4339.0, 4425.0, 4516.0, 4610.0, 4700.0, 4790.0, 5020.0, 5110.0, 5220.0, 5310.0, 5700.0, 5780.0, 5880.0, 5980.0, 6840.0, 6950.0, 7230.0, 7340.0, 11200.0, 11390.0, 11610.0, 11830.0, 12040.0, 12250.0, 12910.0, 13130.0, 13400.0, 13600.0, 14200.0, 14400.0, 14600.0, 14800.0, 17500.0, 17700.0, 18200.0, 18400.0, 35900.0, 36400.0, 37000.0, 37500.0, 47300.0, 48100.0, 49000.0, None, None, 194917.0]",,,
108,Mt,278.0,109,,,,,,,,,,,,,,,,,,,Meitnerium,,,,,,,,,,,,,,,,"[50.0, None, None, 94.0, 109.0, 187.0, 202.0, 235.9, 257.0, 289.0, 318.0, 346.0, 386.0, 406.0, 445.0, None, 1035.0, 1072.0, 1112.0, 1154.0, 1195.0, 1234.0, 1311.0, 1352.0, 1397.0, 1439.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4464.0, 4551.0, 4640.0, 4740.0, 4830.0, 4920.0, 5160.0, 5250.0, 5360.0, 5450.0, 5840.0, 5930.0, 6030.0, 6130.0, 7030.0, 7150.0, 7430.0, 7550.0, 11460.0, 11660.0, 11870.0, 12100.0, 12320.0, 12530.0, 13200.0, 13400.0, 13700.0, 13900.0, 14500.0, 14700.0, 14900.0, 15100.0, 17900.0, 18200.0, 18700.0, 18900.0, 36700.0, 37200.0, 37800.0, 38300.0, 48500.0, 49400.0, 50300.0, None, None, 199606.0]",,,
109,Ds,281.0,110,,,,,,,,,,,,,,,,,,,Darmstadtium,,,,,,,,,,,,,,,,"[65.0, None, None, 112.9, 128.0, 216.0, 231.0, 266.0, 288.0, 322.0, 352.0, 380.0, 422.0, 442.0, 483.0, None, 1087.0, 1125.0, 1165.0, 1208.0, 1250.0, 1290.0, 1369.0, 1412.0, 1457.0, 1500.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 4590.0, 4680.0, 4770.0, 4870.0, 4960.0, 5060.0, 5300.0, 5400.0, 5500.0, 5600.0, 5990.0, 6080.0, 6190.0, 6280.0, 7230.0, 7350.0, 7640.0, 7750.0, 11730.0, 11930.0, 12140.0, 12380.0, 12600.0, 12810.0, 13500.0, 13700.0, 14000.0, 14200.0, 14800.0, 15000.0, 15300.0, 15500.0, 18400.0, 18600.0, 19100.0, 19400.0, 37400.0, 37900.0, 38500.0, 39100.0, 49800.0, 50700.0, 51600.0, None, None, 204400.0]",,,
110,Rg,282.0,111,,,,,,,,,,,,,,,,,,,Roentgenium,,,,,,,,,,,,,,,,[],1.565,,
111,Cn,285.0,112,,,,,,,,,,,,,,,,,,,Copernicium,,,,,,,,,,,,,,,,[],,,
112,Nh,286.0,113,,,,,,,,,,,,,,,,,,,Nihonium,,,,,,,,,,,,,,,,[],0.6900000000000001,,
113,Fl,289.0,114,,,,,,,,,,,,,,,,,,,Flerovium,,,,,,,,,,,,,,,,[],,,
114,Mc,290.0,115,,,,,,,,,,,,,,,,,,,Moscovium,,,,,,,,,,,,,,,,[],0.366,,
115,Lv,293.0,116,,,,,,,,,,,,,,,,,,,Livermorium,,,,,,,,,,,,,,,,[],0.776,,
116,Ts,294.0,117,,,,,,,,,,,,,,,,,,,Tennessine,,,,,,,,,,,,,,,,[],1.719,,
117,Og,294.0,118,,,,,,,,,,,,,,,,,,,Oganesson,,,,,,,,,,,,,,,,[],0.0561,,
